Country/Region,Province/State,Lat,Long,Date,Type,Cases,Cumulative Cases
Afghanistan,,33,65,1/22/20,Confirmed,0,0
Afghanistan,,33,65,1/23/20,Confirmed,0,0
Afghanistan,,33,65,1/24/20,Confirmed,0,0
Afghanistan,,33,65,1/25/20,Confirmed,0,0
Afghanistan,,33,65,1/26/20,Confirmed,0,0
Afghanistan,,33,65,1/27/20,Confirmed,0,0
Afghanistan,,33,65,1/28/20,Confirmed,0,0
Afghanistan,,33,65,1/29/20,Confirmed,0,0
Afghanistan,,33,65,1/30/20,Confirmed,0,0
Afghanistan,,33,65,1/31/20,Confirmed,0,0
Afghanistan,,33,65,2/1/20,Confirmed,0,0
Afghanistan,,33,65,2/2/20,Confirmed,0,0
Afghanistan,,33,65,2/3/20,Confirmed,0,0
Afghanistan,,33,65,2/4/20,Confirmed,0,0
Afghanistan,,33,65,2/5/20,Confirmed,0,0
Afghanistan,,33,65,2/6/20,Confirmed,0,0
Afghanistan,,33,65,2/7/20,Confirmed,0,0
Afghanistan,,33,65,2/8/20,Confirmed,0,0
Afghanistan,,33,65,2/9/20,Confirmed,0,0
Afghanistan,,33,65,2/10/20,Confirmed,0,0
Afghanistan,,33,65,2/11/20,Confirmed,0,0
Afghanistan,,33,65,2/12/20,Confirmed,0,0
Afghanistan,,33,65,2/13/20,Confirmed,0,0
Afghanistan,,33,65,2/14/20,Confirmed,0,0
Afghanistan,,33,65,2/15/20,Confirmed,0,0
Afghanistan,,33,65,2/16/20,Confirmed,0,0
Afghanistan,,33,65,2/17/20,Confirmed,0,0
Afghanistan,,33,65,2/18/20,Confirmed,0,0
Afghanistan,,33,65,2/19/20,Confirmed,0,0
Afghanistan,,33,65,2/20/20,Confirmed,0,0
Afghanistan,,33,65,2/21/20,Confirmed,0,0
Afghanistan,,33,65,2/22/20,Confirmed,0,0
Afghanistan,,33,65,2/23/20,Confirmed,0,0
Afghanistan,,33,65,2/24/20,Confirmed,1,1
Afghanistan,,33,65,2/25/20,Confirmed,0,1
Afghanistan,,33,65,2/26/20,Confirmed,0,1
Afghanistan,,33,65,2/27/20,Confirmed,0,1
Afghanistan,,33,65,2/28/20,Confirmed,0,1
Afghanistan,,33,65,2/29/20,Confirmed,0,1
Afghanistan,,33,65,3/1/20,Confirmed,0,1
Afghanistan,,33,65,3/2/20,Confirmed,0,1
Afghanistan,,33,65,3/3/20,Confirmed,0,1
Afghanistan,,33,65,3/4/20,Confirmed,0,1
Afghanistan,,33,65,3/5/20,Confirmed,0,1
Afghanistan,,33,65,3/6/20,Confirmed,0,1
Afghanistan,,33,65,3/7/20,Confirmed,0,1
Afghanistan,,33,65,3/8/20,Confirmed,3,4
Afghanistan,,33,65,3/9/20,Confirmed,0,4
Afghanistan,,33,65,3/10/20,Confirmed,1,5
Afghanistan,,33,65,3/11/20,Confirmed,2,7
Afghanistan,,33,65,3/12/20,Confirmed,0,7
Afghanistan,,33,65,3/13/20,Confirmed,0,7
Afghanistan,,33,65,3/14/20,Confirmed,4,11
Afghanistan,,33,65,3/15/20,Confirmed,5,16
Afghanistan,,33,65,3/16/20,Confirmed,5,21
Afghanistan,,33,65,3/17/20,Confirmed,1,22
Afghanistan,,33,65,3/18/20,Confirmed,0,22
Afghanistan,,33,65,3/19/20,Confirmed,0,22
Afghanistan,,33,65,3/20/20,Confirmed,2,24
Afghanistan,,33,65,3/21/20,Confirmed,0,24
Afghanistan,,33,65,3/22/20,Confirmed,16,40
Albania,,41.1533,20.1683,1/22/20,Confirmed,0,0
Albania,,41.1533,20.1683,1/23/20,Confirmed,0,0
Albania,,41.1533,20.1683,1/24/20,Confirmed,0,0
Albania,,41.1533,20.1683,1/25/20,Confirmed,0,0
Albania,,41.1533,20.1683,1/26/20,Confirmed,0,0
Albania,,41.1533,20.1683,1/27/20,Confirmed,0,0
Albania,,41.1533,20.1683,1/28/20,Confirmed,0,0
Albania,,41.1533,20.1683,1/29/20,Confirmed,0,0
Albania,,41.1533,20.1683,1/30/20,Confirmed,0,0
Albania,,41.1533,20.1683,1/31/20,Confirmed,0,0
Albania,,41.1533,20.1683,2/1/20,Confirmed,0,0
Albania,,41.1533,20.1683,2/2/20,Confirmed,0,0
Albania,,41.1533,20.1683,2/3/20,Confirmed,0,0
Albania,,41.1533,20.1683,2/4/20,Confirmed,0,0
Albania,,41.1533,20.1683,2/5/20,Confirmed,0,0
Albania,,41.1533,20.1683,2/6/20,Confirmed,0,0
Albania,,41.1533,20.1683,2/7/20,Confirmed,0,0
Albania,,41.1533,20.1683,2/8/20,Confirmed,0,0
Albania,,41.1533,20.1683,2/9/20,Confirmed,0,0
Albania,,41.1533,20.1683,2/10/20,Confirmed,0,0
Albania,,41.1533,20.1683,2/11/20,Confirmed,0,0
Albania,,41.1533,20.1683,2/12/20,Confirmed,0,0
Albania,,41.1533,20.1683,2/13/20,Confirmed,0,0
Albania,,41.1533,20.1683,2/14/20,Confirmed,0,0
Albania,,41.1533,20.1683,2/15/20,Confirmed,0,0
Albania,,41.1533,20.1683,2/16/20,Confirmed,0,0
Albania,,41.1533,20.1683,2/17/20,Confirmed,0,0
Albania,,41.1533,20.1683,2/18/20,Confirmed,0,0
Albania,,41.1533,20.1683,2/19/20,Confirmed,0,0
Albania,,41.1533,20.1683,2/20/20,Confirmed,0,0
Albania,,41.1533,20.1683,2/21/20,Confirmed,0,0
Albania,,41.1533,20.1683,2/22/20,Confirmed,0,0
Albania,,41.1533,20.1683,2/23/20,Confirmed,0,0
Albania,,41.1533,20.1683,2/24/20,Confirmed,0,0
Albania,,41.1533,20.1683,2/25/20,Confirmed,0,0
Albania,,41.1533,20.1683,2/26/20,Confirmed,0,0
Albania,,41.1533,20.1683,2/27/20,Confirmed,0,0
Albania,,41.1533,20.1683,2/28/20,Confirmed,0,0
Albania,,41.1533,20.1683,2/29/20,Confirmed,0,0
Albania,,41.1533,20.1683,3/1/20,Confirmed,0,0
Albania,,41.1533,20.1683,3/2/20,Confirmed,0,0
Albania,,41.1533,20.1683,3/3/20,Confirmed,0,0
Albania,,41.1533,20.1683,3/4/20,Confirmed,0,0
Albania,,41.1533,20.1683,3/5/20,Confirmed,0,0
Albania,,41.1533,20.1683,3/6/20,Confirmed,0,0
Albania,,41.1533,20.1683,3/7/20,Confirmed,0,0
Albania,,41.1533,20.1683,3/8/20,Confirmed,0,0
Albania,,41.1533,20.1683,3/9/20,Confirmed,2,2
Albania,,41.1533,20.1683,3/10/20,Confirmed,8,10
Albania,,41.1533,20.1683,3/11/20,Confirmed,2,12
Albania,,41.1533,20.1683,3/12/20,Confirmed,11,23
Albania,,41.1533,20.1683,3/13/20,Confirmed,10,33
Albania,,41.1533,20.1683,3/14/20,Confirmed,5,38
Albania,,41.1533,20.1683,3/15/20,Confirmed,4,42
Albania,,41.1533,20.1683,3/16/20,Confirmed,9,51
Albania,,41.1533,20.1683,3/17/20,Confirmed,4,55
Albania,,41.1533,20.1683,3/18/20,Confirmed,4,59
Albania,,41.1533,20.1683,3/19/20,Confirmed,5,64
Albania,,41.1533,20.1683,3/20/20,Confirmed,6,70
Albania,,41.1533,20.1683,3/21/20,Confirmed,6,76
Albania,,41.1533,20.1683,3/22/20,Confirmed,13,89
Algeria,,28.0339,1.6596,1/22/20,Confirmed,0,0
Algeria,,28.0339,1.6596,1/23/20,Confirmed,0,0
Algeria,,28.0339,1.6596,1/24/20,Confirmed,0,0
Algeria,,28.0339,1.6596,1/25/20,Confirmed,0,0
Algeria,,28.0339,1.6596,1/26/20,Confirmed,0,0
Algeria,,28.0339,1.6596,1/27/20,Confirmed,0,0
Algeria,,28.0339,1.6596,1/28/20,Confirmed,0,0
Algeria,,28.0339,1.6596,1/29/20,Confirmed,0,0
Algeria,,28.0339,1.6596,1/30/20,Confirmed,0,0
Algeria,,28.0339,1.6596,1/31/20,Confirmed,0,0
Algeria,,28.0339,1.6596,2/1/20,Confirmed,0,0
Algeria,,28.0339,1.6596,2/2/20,Confirmed,0,0
Algeria,,28.0339,1.6596,2/3/20,Confirmed,0,0
Algeria,,28.0339,1.6596,2/4/20,Confirmed,0,0
Algeria,,28.0339,1.6596,2/5/20,Confirmed,0,0
Algeria,,28.0339,1.6596,2/6/20,Confirmed,0,0
Algeria,,28.0339,1.6596,2/7/20,Confirmed,0,0
Algeria,,28.0339,1.6596,2/8/20,Confirmed,0,0
Algeria,,28.0339,1.6596,2/9/20,Confirmed,0,0
